name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-45.024358,-23.240214,gbif,1/2/2024,4510103073
"Haplospiza unicolor Cabanis, 1851",-45.126606,-23.230489,gbif,1/26/2024,4516863821
"Haplospiza unicolor Cabanis, 1851",-45.126606,-23.230489,gbif,1/26/2024,4516840127
"Haplospiza unicolor Cabanis, 1851",-42.9326,-22.435,gbif,1/8/2024,4524634397
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.5849,gbif,1/11/2024,4524628664
"Haplospiza unicolor Cabanis, 1851",-46.347266,-23.48014,gbif,4/6/2024,4607229567
"Haplospiza unicolor Cabanis, 1851",-42.513194,-22.361014,gbif,1/16/2023,4022271797
"Haplospiza unicolor Cabanis, 1851",-45.847208,-23.529268,gbif,1/28/2023,4029215076
"Haplospiza unicolor Cabanis, 1851",-42.4832,-22.3996,gbif,1/2/2023,4018719023
"Haplospiza unicolor Cabanis, 1851",-50.47312,-29.488045,gbif,1/1/2023,4652211858
"Haplospiza unicolor Cabanis, 1851",-50.47312,-29.488045,gbif,1/1/2023,4763102796
"Haplospiza unicolor Cabanis, 1851",-45.502506,-23.566956,gbif,1/2/2023,4761907627
"Haplospiza unicolor Cabanis, 1851",-42.452126,-22.40193,gbif,1/2/2023,4683099597
"Haplospiza unicolor Cabanis, 1851",-42.452126,-22.40193,gbif,1/2/2023,4694260602
"Haplospiza unicolor Cabanis, 1851",-42.979267,-22.523293,gbif,1/2/2023,4661945947
"Haplospiza unicolor Cabanis, 1851",-42.979267,-22.523293,gbif,1/2/2023,4763116018
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,1/2/2023,4644752939
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,1/2/2023,4635630253
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,1/2/2023,4688563331
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,1/4/2023,4703310665
"Haplospiza unicolor Cabanis, 1851",-42.93903,-22.44686,gbif,1/5/2023,4691979149
"Haplospiza unicolor Cabanis, 1851",-42.93903,-22.44686,gbif,1/5/2023,4685734623
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,1/4/2023,4746923349
"Haplospiza unicolor Cabanis, 1851",-52.2402,-25.782215,gbif,1/7/2023,4685566999
